priority,company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Tier 4 - Lower Priority,Stockholm School Of Economics,14,Stockholm,75.0,,,,
Tier 4 - Lower Priority,Hexaware Technologies Nordic Ab,13,Vallentuna,11.0,26.0,,,
Tier 4 - Lower Priority,Åf-Infrastructure Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Incontext Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Nordic Green Food Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Avanade Sweden Ab,13,Stockholm,162.0,652.0,,,
Tier 4 - Lower Priority,Husqvarna Ab,13,Huskvarna,2657.0,22427.0,,,
Tier 4 - Lower Priority,Skg Stockholm Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Ringtail Interactive Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Lg Electronics Nordic Ab,13,Kista,59.0,2925.0,,,
Tier 4 - Lower Priority,Stockholm Eventsco Services Ab,13,Stockholm,,,,,
Tier 4 - Lower Priority,Instabox Group Ab,13,Stockholm,97.0,582.0,,,
Tier 4 - Lower Priority,Nynas Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Normative Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,"Wallenius Wilhelmsen Ocean As, Filial Sverige",12,Stockholm,,,,,
Tier 4 - Lower Priority,Grillspaden Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Cepheid Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Accedo Broadband Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Stegra Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Apsis International Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Fastdev Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Public Clean I Stockholm Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Polarium Energy Solutions Ab,12,Stockholm,144.0,1488.0,,,
Tier 4 - Lower Priority,Storytel Sweden Ab,12,Stockholm,195.0,1955.0,,,
Tier 4 - Lower Priority,Uppsala Universitet,12,Uppsala,,,,,
Tier 4 - Lower Priority,Kth,12,Stockholm,,,,,
Tier 4 - Lower Priority,Dassault Systemes Ab,12,Stockholm,171.0,967.0,,,
Tier 4 - Lower Priority,Allianceplus Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,D & E Konditori Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Traton Ab,12,Södertälje,210.0,,,,
Tier 4 - Lower Priority,Trustly Group Ab,12,Stockholm,327.0,1075.0,,,
Tier 4 - Lower Priority,Air China Limited,12,Stockholm,,,,,
Tier 4 - Lower Priority,Total Allservice Sthlm Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,Tietoevry Tech Services Ab,12,Stockholm,,,,,
Tier 4 - Lower Priority,United Parcel Service Sweden Aktiebolag,12,Stockholm,,,,,
Tier 4 - Lower Priority,Discovery Networks Sweden Ab,11,Stockholm,,,,,
Tier 4 - Lower Priority,Nordic Transport & It Services Ab,11,Stockholm,,,,,
Tier 4 - Lower Priority,Elekta Instrument Ab,11,Stockholm,264.0,1251.0,,,
Tier 4 - Lower Priority,Max Burgers Ab,11,Luleå,,,,,
Tier 4 - Lower Priority,Mojang Ab,11,Stockholm,192.0,3591.0,,,
Tier 4 - Lower Priority,Stiftelsen Borgen 2 - British International Scho,11,Stockholm,,,,,
Tier 4 - Lower Priority,Aktiebolaget Sandvik Coromant,11,Stockholm,3605.0,13505.0,,,
Tier 4 - Lower Priority,Toca Boca Ab,11,Stockholm,207.0,1556.0,,,
Tier 4 - Lower Priority,Taipei Mission In Sweden,11,Stockholm,,,,,
Tier 4 - Lower Priority,Einride Ab,11,Stockholm,208.0,240.0,,,
Tier 4 - Lower Priority,"Stift The Stockholm Environment Institute, Sei",11,Stockholm,,,,,
Tier 4 - Lower Priority,Epiroc Rock Drills Aktiebolag,11,Nacka,2511.0,20600.0,,,
Tier 4 - Lower Priority,Wsp Sverige Ab,11,Stockholm,3660.0,5389.0,,,
Tier 4 - Lower Priority,Umain Ab,11,Stockholm,,,,,
Tier 4 - Lower Priority,Hemnet Ab,11,Stockholm,152.0,1396.0,,,
Tier 4 - Lower Priority,Telefonaktiebolaget Lm Ericsson,11,Kista,,,,,
Tier 4 - Lower Priority,Tech Mahindra Limited Indien Filial,11,Stockholm,,,,,
Tier 4 - Lower Priority,Daresay Ab,11,Stockholm,,,,,
Tier 4 - Lower Priority,Tobii Dynavox Ab,11,Danderyd,318.0,518.0,,,
Tier 4 - Lower Priority,Arbetsförmedlingen,11,Stockholm,,,,,
Tier 4 - Lower Priority,Direktstäd I Stockholm Ab,10,Stockholm,,,,,
Tier 4 - Lower Priority,Itri Service Ab,10,Stockholm,,,,,
Tier 4 - Lower Priority,Silex Microsystems Ab,10,Stockholm,,,,,
Tier 4 - Lower Priority,Toteme Ab,10,Stockholm,,,,,
Tier 4 - Lower Priority,Uppsala University,10,Uppsala,,,,,
Tier 4 - Lower Priority,Ubisoft Entertainment Sweden Ab,10,Malmö,759.0,924.0,,,
